zipcode,zipcode_type,major_city,post_office_city,common_city_list,county,state,lat,lng,timezone,radius_in_miles,area_code_list,population,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income,bounds_west,bounds_east,bounds_north,bounds_south,area_code_list1,area_code_list2,common_city_list1,area_code_list3,area_code_list4,area_code_list5,common_city_list2,common_city_list3,area_code_list6,area_code_list7,area_code_list8,common_city_list4
30318,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.79,-84.44,Eastern,4.0,404,49736.0,2442.0,20.36,0.18,25475.0,19812.0,174800.0,39421.0,-84.498731,-84.390567,33.832056,33.754464,678,770,,,,,,,,,,
02130,Standard,Jamaica Plain,"Jamaica Plain, MA",Jamaica Plain,Suffolk County,MA,42.31,-71.12,Eastern,2.0,617,35401.0,10618.0,3.33,0.13,16016.0,15147.0,392800.0,75730.0,-71.140135,-71.094745,42.332003,42.28695,857,,Boston,,,,,,,,,
60641,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.95,-87.75,Central,2.0,773,71663.0,17730.0,4.04,0.0,27072.0,24770.0,265000.0,46816.0,-87.767123,-87.72583,41.962531,41.93131,,,,,,,,,,,,
60637,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.78,-87.6,Central,2.0,312,49503.0,10989.0,4.5,0.74,24632.0,19546.0,185100.0,25775.0,-87.626817,-87.56301,41.798613,41.765514,773,872,,,,,,,,,,
30306,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.79,-84.35,Eastern,2.0,404,22246.0,5067.0,4.39,0.01,12373.0,11351.0,488100.0,82566.0,-84.370759,-84.32805,33.810633,33.764503,,,,,,,,,,,,
02142,Standard,Cambridge,"Cambridge, MA",Cambridge,Middlesex County,MA,42.36,-71.08,Eastern,0.7386363636363636,508,3141.0,11359.0,0.28,0.22,1794.0,1468.0,1000001.0,100114.0,-71.092581,-71.070738,42.369131,42.354233,781,857,,978,339,617,,,,,,
60601,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.88,-87.62,Central,0.7954545454545454,312,11110.0,28793.0,0.39,0.0,8594.0,6739.0,494200.0,95556.0,-87.633967,-87.61328,41.889045,41.880829,773,872,,,,,,,,,,
60644,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.88,-87.76,Central,1.0,773,48648.0,13885.0,3.5,0.01,19620.0,16512.0,170300.0,26092.0,-87.775113,-87.739932,41.895095,41.865459,,,,,,,,,,,,
30126,Standard,Mableton,"Mableton, GA",Mableton,Cobb County,GA,33.82,-84.55,Eastern,5.0,678,37088.0,1791.0,20.71,0.16,15212.0,13665.0,177900.0,67955.0,-84.613016,-84.48757,33.848844,33.778735,,,,,,,,,,,,
19134,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.99,-75.11,Eastern,2.0,215,60675.0,17295.0,3.51,0.3,23000.0,20080.0,75700.0,24291.0,-75.131937,-75.083781,40.009893,39.968358,267,,Phila,,,,,,,,,
60652,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.75,-87.71,Central,2.0,312,40959.0,8164.0,5.02,0.0,13394.0,12727.0,169600.0,65330.0,-87.742055,-87.682621,41.771201,41.734524,773,,,,,,,,,,,
60638,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.78,-87.77,Central,3.0,630,55026.0,4957.0,11.1,0.0,21397.0,19698.0,208900.0,61903.0,-87.804788,-87.739368,41.816511,41.751781,708,773,Bedford Park,847,312,,,,,,,
02110,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.359,-71.054,Eastern,0.625,508,1733.0,9355.0,0.19,0.09,1264.0,1048.0,724000.0,111250.0,-71.061212,-71.0455,42.364175,42.352731,774,617,,781,857,978,,,,,,
02129,Standard,Charlestown,"Charlestown, MA",Charlestown,Suffolk County,MA,42.38,-71.06,Eastern,1.0,857,16439.0,12192.0,1.35,0.49,8648.0,8033.0,489900.0,86346.0,-71.080947,-71.044298,42.394996,42.368551,617,781,Boston,,,,,,,,,
60636,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.78,-87.67,Central,2.0,773,40916.0,10459.0,3.91,0.0,15300.0,12020.0,99700.0,26352.0,-87.686682,-87.652886,41.794175,41.757379,872,,,,,,,,,,,
